BUA22CD,BUA22NM,RGN22CD,RGN22NM,bua_01_pop,bua_11_pop,bua_21_pop,geographic_constraint,bua_perm_rate_01_11,bua_perm_rate_01_21
LON999999,Greater London,E12000007,London,7522269,8443297,8808271,1.0335786928104034,0.007898335788148008,0.017155633851155015
E63002904,Birmingham,E12000005,West Midlands,1010754,1084964,1123562,1.0349714782975918,0.0029931347889650007,0.005194685275225388
E63000784,Leeds,E12000003,Yorkshire and The Humber,486311,502563,537067,1.0673965562240262,0.0053385303820718336,0.008831292280980533
E63001374,Liverpool,E12000002,North West,480792,494997,506863,1.026167265264238,0.004767267567244839,0.008495030958557304
E63001424,Sheffield,E12000003,Yorkshire and The Humber,479958,501771,505453,1.1040524800091467,0.005475060755279743,0.009979932716736811
E63001295,Manchester,E12000002,North West,373957,445954,469173,1.0566742345477307,0.004302944335573461,0.007730407600248912
E63005057,Bristol,E12000009,South West,362393,395796,428579,1.0495921584755639,0.016692516735194753,0.027779202338981207
E63002622,Leicester,E12000004,East Midlands,334751,379933,405806,1.0367001181464548,0.006691101112665771,0.011280236574181837
E63003006,Coventry,E12000005,West Midlands,315278,332783,347816,1.0510782613198022,0.0025351328445989228,0.0055655753990260315
E63000803,Bradford,E12000003,Yorkshire and The Humber,282904,317955,333809,1.0462822675166519,0.009125883998476343,0.015612251897013107
E63001992,Nottingham,E12000004,East Midlands,259331,285726,298618,1.0348220804367838,0.003314891094290807,0.007917995228678337
E63000077,Newcastle upon Tyne,E12000001,North East,262736,277751,287446,1.0354646647683148,0.0032468065910786054,0.006874221079620221
E63002078,Derby,E12000004,East Midlands,240916,264498,278777,1.0380600527411876,0.0061644099649888215,0.010968262648144277
E63006520,Brighton and Hove,E12000008,South East,249547,273369,277091,1.0424168909442402,0.00811471430190219,0.015135444897918305
E63006926,Plymouth,E12000009,South West,251822,266820,272002,1.1244152036998614,0.006616369325251208,0.010591576984935808
E63000825,Kingston upon Hull,E12000003,Yorkshire and The Humber,258850,267704,271605,1.0294321267104527,0.0025398518980982365,0.004513483036848629
E63001958,Stoke-on-Trent,E12000005,West Midlands,250230,258953,262477,1.0638570586274962,0.0036980017302844863,0.007058082556460747
E63006382,Southampton,E12000008,South East,226875,242175,248925,1.0642320025765617,0.007885414509802428,0.012628123292668506
E63003390,Northampton,E12000004,East Midlands,211610,224530,246018,1.074777040932998,0.003671243852713271,0.007167731079227276
E63002713,Wolverhampton,E12000005,West Midlands,220058,230779,235357,1.0416149992559893,0.003657280496816666,0.007316383445574834
E63004145,Luton,E12000006,East of England,197762,217538,234568,1.031598660508816,0.004770139452426464,0.008248661823772135
E63006574,Portsmouth,E12000008,South East,203777,220265,223316,1.04908962333797,0.007929058069254367,0.0107350452075757
E63005074,Reading,E12000008,South East,183725,191621,205932,1.068055432959661,0.007941801565174095,0.012894295734028404
E63002507,Norwich,E12000006,East of England,183416,192980,204156,1.0756859702334767,0.007960902269890904,0.015716118045266743
E63003858,Milton Keynes,E12000008,South East,176848,194553,204044,1.110383509381317,0.0035725348800525795,0.006973044004402739
E63006699,Bournemouth,E12000009,South West,171180,190506,196593,1.0538576737478507,0,0.0026690503708001524
E63002720,Peterborough,E12000006,East of England,161654,176717,193360,1.1022657685241888,0.0082584255000918,0.012651289073526124
E63001109,Bolton (Bolton),E12000002,North West,160876,171053,186036,1.0974048407746864,0.005331050681629629,0.00980654758054409
E63004848,Swindon (Swindon),E12000009,South West,164324,174530,184555,1.060885164003202,0.004230587095002502,0.007142240137320904
E63004820,Southend-on-Sea,E12000006,East of England,163045,176683,182182,1.027342387769913,0.006287606580455019,0.012145806865058922
E63001400,Warrington,E12000002,North West,171188,177975,178885,1.1086148201198873,0.004205154654292409,0.007521333621572884
E63004458,Oxford,E12000008,South East,145204,163198,171135,1.0787486515641855,0.011424122257056801,0.018869767401854066
E63004918,Slough,E12000008,South East,138359,157098,170168,1.0456765297328354,0.004479880936249761,0.008600203900684151
E63000125,Sunderland,E12000001,North East,176338,172880,168759,1.0567759915457922,0.0036745323773960245,0.00652388186006012
E63002505,Telford,E12000005,West Midlands,148533,156584,162424,1.1552627364857135,0.008564073937969732,0.017062408299304662
E63005018,Kingswood and Fishponds,E12000009,South West,141405,149783,158801,1.0455070709294008,0.010422298113546388,0.019447501892697536
E63003736,Ipswich,E12000006,East of England,134796,145744,152060,1.0484425554941772,0.007201029970193175,0.01109677381658762
E63000792,Blackpool,E12000002,North West,151123,150618,151637,1.0236567064869124,0.00331804964185606,0.005720542098201207
E63003443,Cambridge (Cambridge),E12000006,East of England,131618,146087,150544,1.0384748522416953,0.007291192616644401,0.01595675457962156
E63000324,Middlesbrough,E12000001,North East,146806,150099,149831,1.0551009641826896,0.003507888893341119,0.006345309122034083
E63001017,Huddersfield,E12000003,Yorkshire and The Humber,128765,142654,145162,1.1500401176785238,0.012600202734300325,0.021900536085439327
E63000615,York,E12000003,Yorkshire and The Humber,126776,141281,144095,1.0478871816884872,0.00863656555166806,0.015387109551146812
E63006720,Poole,E12000009,South West,131678,139891,142673,1.1118973011220055,0,0.0026690503708001524
E63004104,Colchester,E12000006,East of England,120539,133021,133094,1.067093504068294,0.009575396860759835,0.016077343898484673
E63004690,Watford (Watford),E12000006,East of England,110542,123296,130954,1.0738768425078702,0.007930907546012892,0.014400231647764236
E63000869,Blackburn (Blackburn with Darwen),E12000002,North West,113324,122702,129465,1.0728991474801368,0.004192045782865496,0.007668868670727935
E63006718,Exeter,E12000009,South West,114672,120550,125374,1.080165820050213,0.0064793319076343,0.012233178775417654
E63005907,Crawley (Crawley),E12000008,South East,107118,113033,122963,1.1327594019030358,0.00273025906458899,0.005005116442496768
E63001378,Stockport,E12000002,North West,114447,114511,119591,1.04826198163445,0.004427645473664914,0.008344274157483917
E63005538,Basingstoke,E12000008,South East,107465,112443,119377,1.1019366914728215,0.009082413371540794,0.016726678502252852
E63004269,Gloucester,E12000009,South West,107880,114117,117176,1.0335990485225197,0.007039198391877778,0.011426993526459518
E63004799,Basildon,E12000006,East of England,102802,108301,116197,1.0991142432275167,0.005705422783263333,0.010419372512619303
E63004173,Cheltenham,E12000009,South West,109743,115825,116157,1.0291453976617817,0.009253650018612683,0.017023974879102347
E63000111,Gateshead,E12000001,North East,113488,120465,115153,1.0529910638055666,0.005423921366941141,0.008885445080008183
E63005466,Maidstone,E12000008,South East,92950,104203,112516,1.0792762103914062,0.010839131293285459,0.02171926812740302
E63001069,Rochdale,E12000002,North West,101755,107658,112312,1.1070047856668426,0.005400950601489601,0.008635718687789102
E63001192,Oldham,E12000002,North West,92606,98075,111480,1.096988954456045,0.004950802159387625,0.00811419559825765
E63006549,Worthing,E12000008,South East,101445,108804,111307,1.0318821226422252,0.006269410497661509,0.011326340663228103
E63005204,Gillingham (Medway),E12000008,South East,106156,111700,111114,1.063993831919815,0.00662374971312742,0.011749861397687165
E63004442,Chelmsford,E12000006,East of England,102261,107743,110649,1.0430014602020443,0.008298171890482132,0.01697595993606852
E63001274,Salford,E12000002,North West,90753,97757,110528,1.0625379477838495,0.004582551743591308,0.00779749162614756
E63003011,Solihull,E12000005,West Midlands,102405,107139,110226,1.0513324496046077,0.005124911847577335,0.009936965704459544
E63001403,Birkenhead,E12000002,North West,105197,109904,109781,1.042830540037244,0.004893777331483672,0.009268565915386448
E63001325,St Helens (St. Helens),E12000002,North West,105373,104480,107037,1.1023817656740056,0.004121213149163599,0.008231377469509065
E63003490,Worcester,E12000005,West Midlands,97284,101647,106254,1.068411190374437,0.005688403395295655,0.011070454109242508
E63001650,Lincoln,E12000004,East Midlands,88985,97182,103811,1.1065823205031262,0.008226112740503857,0.014036085809958085
E63002828,West Bromwich,E12000005,West Midlands,87193,93599,103105,1.0882847105544524,0.004118700482035922,0.0072077258435628636
E63001394,Wythenshawe,E12000002,North West,85263,93786,99898,1.0718318755143836,0.004174905067390254,0.008291208168466756
E63006602,Eastbourne,E12000008,South East,89649,96496,98779,1.0610856003366202,0.008650557539145082,0.01415053655026611
E63000971,Wakefield,E12000003,Yorkshire and The Humber,87055,90039,98599,1.068868289626449,0.008670039325312613,0.014252925362290699
E63003597,Bedford,E12000006,East of England,89831,94163,98259,1.0480959590078025,0.0014886566901173176,0.007689392016291467
E63001029,Southport,E12000002,North West,95608,95756,97604,1.1006586754260754,0.004690811890489073,0.00828929669334375
E63000830,Preston (Preston),E12000002,North West,85734,95149,96277,1.0635122024031645,0.00591361318011743,0.014923044187691508
E63004449,Hemel Hempstead,E12000006,East of England,86266,89873,95561,1.0528417651436766,0.010427183390807226,0.020748255688763633
E63004113,Stevenage,E12000006,East of England,87706,92539,95484,1.0733783658739706,0.0044432287320431895,0.008512420778925557
E63005227,Bath,E12000009,South West,85271,90233,95064,1.0792705619650167,0.00837458388193906,0.019093584700186964
E63000339,Darlington,E12000001,North East,91688,96279,94186,1.0593220338983051,0.004987108338007907,0.008992502436250478
E63002760,Royal Sutton Coldfield,E12000005,West Midlands,87067,92727,94120,1.0256410256410258,0.0027917257619371715,0.004767573569006531
E63000900,Halifax,E12000003,Yorkshire and The Humber,87145,92290,94084,1.1130514882266018,0.01692795608841231,0.026034998597988787
E63004408,Harlow,E12000006,East of England,83838,87389,93331,1.086386453884768,0.002111225024647121,0.004055460499322153
