"LSOA21CD","BUA22CD"
"E01000136","E63004747"
"E01000167","E63004747"
"E01000095","E63004859"
"E01000666","E63005189"
"E01000673","E63005189"
"E01000680","E63005189"
"E01000748","E63005189"
"E01000749","E63005189"
"E01000606","E63004844"
"E01000816","E63005189"
"E01000967","E63004858"
"E01001064","E63005267"
"E01000908","E63004858"
"E01001208","E63004894"
"E01001084","E63005267"
"E01001575","E63004986"
"E01001327","E63004894"
"E01001407","E63004679"
"E01001412","E63004679"
"E01002190","E63004781"
"E01002337","E63004796"
"E01002292","E63004796"
"E01002438","E63004882"
"E01002444","E63004882"
"E01002446","E63004882"
"E01002447","E63004882"
"E01002544","E63004882"
"E01002572","E63005014"
"E01003078","E63005063"
"E01003659","E63004790"
"E01004114","E63005250"
"E01004085","E63005250"
"E01003837","E63005073"
"E01003852","E63005073"
"E01004968","E63001098"
"E01005022","E63001037"
"E01004780","E63001106"
"E01004809","E63001109"
"E01004982","E63001098"
"E01005010","E63001151"
"E01004884","E63001095"
"E01005047","E63001098"
"E01005049","E63001098"
"E01005059","E63001098"
"E01005192","E63001323"
"E01005468","E63001069"
"E01005365","E63001254"
"E01005391","E63001142"
"E01005594","E63001069"
"E01005719","E63001274"
"E01005732","E63001281"
"E01005520","E63001022"
"E01005620","E63001334"
"E01005737","E63001256"
"E01005908","E63001386"
"E01005740","E63001256"
"E01006027","E63001328"
"E01006232","E63001114"
"E01005929","E63001435"
"E01005930","E63001435"
"E01006215","E63001224"
"E01006243","E63001213"
"E01006087","E63001421"
"E01006313","E63001136"
"E01006327","E63001260"
"E01006364","E63001199"
"E01006473","E63001367"
"E01006425","E63001374"
"E01006708","E63001374"
"E01006495","E63001284"
"E01006508","E63001284"
"E01006803","E63001301"
"E01006815","E63001325"
"E01006819","E63001325"
"E01006827","E63001365"
"E01006829","E63001325"
"E01006981","E63001291"
"E01006993","E63001155"
"E01006875","E63001325"
"E01006885","E63001250"
"E01006886","E63001250"
"E01006899","E63001325"
"E01007144","E63999999"
"E01007148","E63001464"
"E01007488","E63001062"
"E01007490","E63001062"
"E01007516","E63001190"
"E01007421","E63001251"
"E01007424","E63001270"
"E01007426","E63001174"
"E01007183","E63001468"
"E01007436","E63001119"
"E01007195","E63001383"
"E01007339","E63001160"
"E01007559","E63001129"
"E01007923","E63001424"
"E01007624","E63001157"
"E01007583","E63001220"
"E01007966","E63001424"
"E01007967","E63001424"
"E01007974","E63001424"
"E01007696","E63001292"
"E01007752","E63001499"
"E01007764","E63001358"
"E01007772","E63001307"
"E01007721","E63001324"
"E01008217","E63000111"
"E01008247","E63000093"
"E01008301","E63000077"
"E01008258","E63000111"
"E01008272","E63000117"
"E01008276","E63000099"
"E01008278","E63000099"
"E01008128","E63001347"
"E01008129","E63001424"
"E01008478","E63000058"
"E01008504","E63000066"
"E01008505","E63000066"
"E01008632","E63000094"
"E01008645","E63000090"
"E01008605","E63000087"
"E01008443","E63000077"
