BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,0.05000000000000005,8808271,8872571.05,5.820450797243903e-4,-2.3288058995035892e-7,7.466674293453946e-4
Birmingham,0.05000000000000011,1123562,1129202.4,4.0068401097183645e-4,-1.1036731502584466e-7,7.466674293453946e-4
Leeds,0.05000000000000008,537067,539604.75,3.7719697372260824e-4,-9.780813552758016e-8,7.466674293453946e-4
Sheffield,0.05000000000000008,505453,506727.75,2.0152592189568688e-4,-2.7920057081859894e-8,7.466674293453946e-4
Liverpool,0.050000000000000044,506863,508166.55,2.0550095748754482e-4,-2.903232525236637e-8,7.466674293453946e-4
Manchester,0.05,469173,473933.8,8.080125966454363e-4,-4.4878246061670944e-7,7.466674293453946e-4
Bristol,0.0500000000000001,428579,431888.3,6.155417593314413e-4,-2.604546194015043e-7,7.466674293453946e-4
Leicester,0.050000000000000044,405806,409358.75,6.975790394935645e-4,-3.345002493788433e-7,7.466674293453946e-4
Coventry,0.050000000000000114,347816,349442.9,3.7339511560019375e-4,-9.584648446615122e-8,7.466674293453946e-4
Bradford,0.04999999999999995,333809,336354.25,6.078604260815922e-4,-2.539951679696905e-7,7.466674293453946e-4
Rural areas,NA,17002134.5,17002134.5,7.466674293453946e-4,NA,NA
