BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,0.22838614197543491,8808271,9101975.80696655,0.0013128748734029113,-2.3707834122307388e-6,0.012178286083512685
Birmingham,3.0568280542779878,1123562,1468396.6591469913,0.010764205713702069,-1.5974711846383706e-4,0.012178286083512685
Leeds,1.386284860667503,537067,607427.8881031792,0.004936569365775644,-3.3549702360626046e-5,0.012178286083512685
Sheffield,1.1116319674517576,505453,533794.0570101825,0.002184584601644826,-6.5656469439323055e-6,0.012178286083512685
Liverpool,1.480737864345353,506863,545467.3168613476,0.002940400091608383,-1.1896922361118895e-5,0.012178286083512685
Manchester,1.7261104520543697,469173,633526.3328028088,0.012085648134455085,-2.0144282765574524e-4,0.012178286083512685
Bristol,0,428579,428579,0,0,0.012178286083512685
Leicester,0.8682183497740706,405806,467497.2548431966,0.00567678276307251,-4.437342406849099e-5,0.012178286083512685
Coventry,2.7864809021124772,347816,438482.5155929358,0.00930891425439228,-1.1942897393068108e-4,0.012178286083512685
Bradford,0.3498337852999173,333809,351617.2888406923,0.0020811371014146044,-5.95840404769757e-6,0.012178286083512685
Rural areas,NA,17072782,16755433.879832119,0.012178286083512685,NA,NA
