BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,1.4880708782744285,8808271,10721931.637531793,0.007895009035892145,-8.587443338804247e-5,-0.0015145829908147115
Birmingham,7.216941676675819,1123562,1937690.7566624456,0.02203906739579052,-6.715404192266457e-4,-0.0015145829908147115
Leeds,3.833323784418833,537067,731627.3486781778,0.01244271209919921,-2.1354067565061433e-4,-0.0015145829908147115
Sheffield,3.2770254215872527,505453,589000.763123367,0.006137655586464868,-5.187682030071996e-5,-0.0015145829908147115
Liverpool,4.024634535582988,506863,611789.2469771841,0.007554274859747607,-7.86153403034016e-5,-0.0015145829908147115
Manchester,4.521626820019074,469173,899704.2192949362,0.02638588240570486,-9.635997614689056e-4,-0.0015145829908147115
Bristol,0.536560532384931,428579,464091.795396429,0.0031893665395246844,-1.3997730881630679e-5,-0.0015145829908147115
Leicester,2.784000951975567,405806,603623.1876426239,0.016009802412648162,-3.5384062186129094e-4,-0.0015145829908147115
Coventry,6.669364418759541,347816,564823.779457598,0.01958288495141867,-5.298762609647584e-4,-0.0015145829908147115
Bradford,1.734033914826589,333809,422079.9964342475,0.009429213058835005,-1.2253934502670207e-4,-0.0015145829908147115
Rural areas,NA,17217154.268801197,17217154.268801197,-0.0015145829908147115,NA,NA
