ons_lad_code_2017,lad_name_2017,pct_forest_open_land_and_water,pct_grnblt,pct_grnblt_thats_forest_open_land_and_water,pct_grnblt_plus_forest_open_land_and_water
E07000223,Adur,9.3,0.0,0.0,9.3
E07000026,Allerdale,40.2,0.0,0.0,40.2
E07000032,Amber Valley,10.8,32.6,0.0,43.4
E07000224,Arun,18.9,0.0,0.0,18.9
E07000170,Ashfield,15.0,41.3,0.0,56.4
E07000105,Ashford,16.7,0.0,0.0,16.7
E07000004,Aylesbury Vale,7.8,5.3,0.0,13.2
E07000200,Babergh,12.5,0.0,0.0,12.5
E09000002,Barking and Dagenham,5.7,14.6,0.0,20.3
E09000003,Barnet,5.9,27.5,0.0,33.4
E08000016,Barnsley,24.0,70.0,0.0,93.9
E07000027,Barrow-in-Furness,51.8,0.0,0.0,51.8
E07000066,Basildon,11.7,63.6,0.0,75.3
E07000084,Basingstoke and Deane,17.8,0.0,0.0,17.8
E07000171,Bassetlaw,13.3,0.0,0.0,13.3
E06000022,Bath and North East Somerset,12.3,70.5,0.0,82.8
E06000055,Bedford,8.7,0.0,0.0,8.7
E09000004,Bexley,13.0,18.4,0.0,31.5
E08000025,Birmingham,4.6,13.9,0.0,18.6
E07000129,Blaby,5.4,0.0,0.0,5.4
E06000008,Blackburn with Darwen,37.8,38.5,0.0,76.2
E06000009,Blackpool,16.6,2.1,0.0,18.7
E07000033,Bolsover,12.8,6.9,0.0,19.7
E08000001,Bolton,17.4,51.7,0.0,69.1
E07000136,Boston,15.4,0.0,0.0,15.4
E06000028,Bournemouth,9.0,15.8,0.0,24.8
E06000036,Bracknell Forest,33.2,35.1,0.0,68.3
E08000032,Bradford,25.9,65.2,0.0,91.0
E07000067,Braintree,8.3,0.0,0.0,8.3
E07000143,Breckland,20.6,0.0,0.0,20.6
E09000005,Brent,3.0,0.0,0.0,3.0
E07000068,Brentwood,12.1,89.7,0.0,101.8
E06000043,Brighton and Hove,7.8,0.0,0.0,7.8
E06000023,"Bristol, City of",12.9,5.4,0.0,18.4
E07000144,Broadland,15.2,0.0,0.0,15.2
E09000006,Bromley,12.0,51.5,0.0,63.4
E07000234,Bromsgrove,11.1,89.0,0.0,100.1
E07000095,Broxbourne,16.2,64.6,0.0,80.8
E07000172,Broxtowe,11.8,64.1,0.0,75.9
E07000117,Burnley,42.3,9.6,0.0,51.9
E08000002,Bury,15.5,59.5,0.0,75.0
E08000033,Calderdale,47.4,62.7,0.0,110.1
E07000008,Cambridge,5.1,24.1,0.0,29.2
E09000007,Camden,8.2,0.0,0.0,8.2
E07000192,Cannock Chase,28.4,61.1,0.0,89.6
E07000106,Canterbury,25.0,0.0,0.0,25.0
E07000028,Carlisle,36.9,0.0,0.0,36.9
E07000069,Castle Point,28.9,61.1,0.0,90.0
E06000056,Central Bedfordshire,12.1,39.4,0.0,51.5
E07000130,Charnwood,10.0,0.0,0.0,10.0
E07000070,Chelmsford,11.1,37.6,0.0,48.7
E07000078,Cheltenham,5.1,17.5,0.0,22.6
E07000177,Cherwell,8.1,14.3,0.0,22.4
E06000049,Cheshire East,11.9,34.9,0.0,46.8
E06000050,Cheshire West and Chester,13.1,42.7,0.0,55.9
E07000034,Chesterfield,10.6,21.7,0.0,32.3
E07000225,Chichester,29.6,0.0,0.0,29.6
E07000005,Chiltern,17.8,88.5,0.0,106.3
E07000118,Chorley,21.2,71.8,0.0,93.0
E07000048,Christchurch,25.5,65.0,0.0,90.5
E09000001,City of London,7.6,0.0,0.0,7.6
E07000071,Colchester,18.2,0.0,0.0,18.2
E07000029,Copeland,59.5,0.0,0.0,59.5
E07000150,Corby,13.7,0.0,0.0,13.7
E06000052,Cornwall,20.8,0.0,0.0,20.8
E07000079,Cotswold,13.6,0.1,0.0,13.7
E06000047,County Durham,41.2,3.9,0.0,45.2
E08000026,Coventry,7.1,30.7,0.0,37.8
E07000163,Craven,53.9,0.0,0.0,53.9
E07000226,Crawley,11.4,0.0,0.0,11.4
E09000008,Croydon,9.7,26.7,0.0,36.4
E07000096,Dacorum,12.8,50.3,0.0,63.0
E06000005,Darlington,6.1,0.0,0.0,6.1
E07000107,Dartford,18.8,56.4,0.0,75.3
E07000151,Daventry,7.2,0.0,0.0,7.2
E06000015,Derby,4.2,3.1,0.0,7.3
E07000035,Derbyshire Dales,21.1,0.0,0.0,21.1
E08000017,Doncaster,13.9,40.9,0.0,54.9
E07000108,Dover,12.1,0.0,0.0,12.1
E08000027,Dudley,9.2,18.0,0.0,27.2
E09000009,Ealing,5.1,6.0,0.0,11.1
E07000009,East Cambridgeshire,6.5,2.9,0.0,9.5
E07000040,East Devon,16.2,0.0,0.0,16.2
E07000049,East Dorset,19.8,0.0,0.0,19.8
E07000085,East Hampshire,21.7,0.0,0.0,21.7
E07000242,East Hertfordshire,12.8,36.8,0.0,49.6
E07000137,East Lindsey,10.6,0.0,0.0,10.6
E07000152,East Northamptonshire,12.8,0.0,0.0,12.8
E06000011,East Riding of Yorkshire,9.4,0.0,0.0,9.4
E07000193,East Staffordshire,12.3,0.1,0.0,12.4
E07000061,Eastbourne,11.9,0.0,0.0,11.9
E07000086,Eastleigh,14.7,0.0,0.0,14.7
E07000030,Eden,52.2,0.0,0.0,52.2
E07000207,Elmbridge,20.6,58.3,0.0,78.8
E09000010,Enfield,8.1,37.4,0.0,45.4
E07000072,Epping Forest,12.4,93.4,0.0,105.8
E07000208,Epsom and Ewell,9.3,45.9,0.0,55.2
E07000036,Erewash,9.7,71.6,0.0,81.2
E07000041,Exeter,12.9,0.0,0.0,12.9
E07000087,Fareham,17.2,0.0,0.0,17.2
E07000010,Fenland,4.2,0.0,0.0,4.2
E07000112,Folkestone and Hythe,13.2,0.0,0.0,13.2
E07000201,Forest Heath,25.6,0.0,0.0,25.6
E07000080,Forest of Dean,32.2,0.0,0.0,32.2
E07000119,Fylde,16.5,10.7,0.0,27.2
E08000037,Gateshead,17.7,60.0,0.0,77.7
E07000173,Gedling,15.2,75.0,0.0,90.2
E07000081,Gloucester,5.8,0.0,0.0,5.8
E07000088,Gosport,15.6,0.0,0.0,15.6
E07000109,Gravesham,17.0,77.4,0.0,94.4
E07000145,Great Yarmouth,15.4,0.0,0.0,15.4
E09000011,Greenwich,12.9,0.0,0.0,12.9
E07000209,Guildford,33.6,89.0,0.0,122.6
E09000012,Hackney,3.5,0.0,0.0,3.5
E06000006,Halton,24.8,31.6,0.0,56.4
E07000164,Hambleton,15.2,1.2,0.0,16.4
E09000013,Hammersmith and Fulham,5.8,0.0,0.0,5.8
E07000131,Harborough,6.2,0.0,0.0,6.2
E09000014,Haringey,3.8,2.1,0.0,5.9
E07000073,Harlow,9.3,20.8,0.0,30.1
E07000165,Harrogate,29.5,11.1,0.0,40.6
E09000015,Harrow,6.5,21.6,0.0,28.1
E07000089,Hart,26.5,0.0,0.0,26.5
E06000001,Hartlepool,12.4,0.0,0.0,12.4
E07000062,Hastings,15.9,0.0,0.0,15.9
E07000090,Havant,36.6,0.0,0.0,36.6
E09000016,Havering,9.6,54.1,0.0,63.6
E06000019,"Herefordshire, County of",14.9,0.0,0.0,14.9
E07000098,Hertsmere,9.4,79.0,0.0,88.3
E07000037,High Peak,57.9,7.4,0.0,65.3
E09000017,Hillingdon,12.0,42.9,0.0,54.9
E07000132,Hinckley and Bosworth,8.0,0.0,0.0,8.0
E07000227,Horsham,19.0,0.0,0.0,19.0
E09000018,Hounslow,8.0,21.9,0.0,29.9
E07000011,Huntingdonshire,8.1,0.0,0.0,8.1
E07000120,Hyndburn,18.4,54.3,0.0,72.7
E07000202,Ipswich,6.4,0.0,0.0,6.4
E06000046,Isle of Wight,22.0,0.0,0.0,22.0
E06000053,Isles of Scilly,65.6,0.0,0.0,65.6
E09000019,Islington,1.5,0.0,0.0,1.5
E09000020,Kensington and Chelsea,3.8,0.0,0.0,3.8
E07000153,Kettering,10.2,0.0,0.0,10.2
E07000146,King's Lynn and West Norfolk,16.2,0.0,0.0,16.2
E06000010,"Kingston upon Hull, City of",8.0,0.0,0.0,8.0
E09000021,Kingston upon Thames,5.1,17.2,0.0,22.2
E08000034,Kirklees,26.2,62.4,0.0,88.6
E08000011,Knowsley,12.5,48.8,0.0,61.3
E09000022,Lambeth,2.5,0.0,0.0,2.5
E07000121,Lancaster,43.3,3.0,0.0,46.4
E08000035,Leeds,13.0,61.6,0.0,74.5
E06000016,Leicester,4.7,0.0,0.0,4.7
E07000063,Lewes,14.3,0.0,0.0,14.3
E09000023,Lewisham,3.4,0.0,0.0,3.4
E07000194,Lichfield,9.3,45.8,0.0,55.1
E07000138,Lincoln,13.1,0.0,0.0,13.1
E08000012,Liverpool,19.3,4.7,0.0,24.1
E06000032,Luton,4.1,3.2,0.0,7.3
E07000110,Maidstone,15.7,1.3,0.0,17.0
E07000074,Maldon,23.4,0.0,0.0,23.4
E07000235,Malvern Hills,14.0,0.0,0.0,14.0
E08000003,Manchester,7.3,14.7,0.0,22.1
E07000174,Mansfield,14.3,0.0,0.0,14.3
E06000035,Medway,31.5,6.9,0.0,38.4
E07000133,Melton,6.3,0.0,0.0,6.3
E07000187,Mendip,11.6,1.2,0.0,12.7
E09000024,Merton,6.6,0.0,0.0,6.6
E07000042,Mid Devon,12.3,0.0,0.0,12.3
E07000203,Mid Suffolk,6.1,0.0,0.0,6.1
E07000228,Mid Sussex,27.2,0.1,0.0,27.2
E06000002,Middlesbrough,7.4,0.0,0.0,7.4
E06000042,Milton Keynes,10.4,0.0,0.0,10.4
E07000210,Mole Valley,30.1,76.0,0.0,106.1
E07000091,New Forest,50.4,6.9,0.0,57.3
E07000175,Newark and Sherwood,13.6,9.6,0.0,23.3
E08000021,Newcastle upon Tyne,9.1,35.1,0.0,44.2
E07000195,Newcastle-under-Lyme,12.1,44.7,0.0,56.8
E09000025,Newham,11.7,2.2,0.0,13.9
E07000043,North Devon,21.3,0.0,0.0,21.3
E07000050,North Dorset,10.9,0.0,0.0,10.9
E07000038,North East Derbyshire,19.3,37.6,0.0,56.9
E06000012,North East Lincolnshire,10.0,0.0,0.0,10.0
E07000099,North Hertfordshire,8.5,38.0,0.0,46.5
E07000139,North Kesteven,6.3,0.0,0.0,6.3
E06000013,North Lincolnshire,11.3,0.0,0.0,11.3
E07000147,North Norfolk,17.8,0.0,0.0,17.8
E06000024,North Somerset,17.7,41.5,0.0,59.1
E08000022,North Tyneside,7.3,20.1,0.0,27.4
E07000218,North Warwickshire,12.5,60.8,0.0,73.3
E07000134,North West Leicestershire,16.1,0.0,0.0,16.1
E07000154,Northampton,9.7,0.0,0.0,9.7
E06000057,Northumberland,45.1,8.7,0.0,53.8
E07000148,Norwich,10.9,0.0,0.0,10.9
E06000018,Nottingham,5.4,10.0,0.0,15.4
E07000219,Nuneaton and Bedworth,7.5,45.6,0.0,53.1
E07000135,Oadby and Wigston,3.5,0.0,0.0,3.5
E08000004,Oldham,37.5,43.9,0.0,81.4
E07000178,Oxford,8.1,28.2,0.0,36.3
E07000122,Pendle,25.7,12.1,0.0,37.7
E06000031,Peterborough,9.3,0.0,0.0,9.3
E06000026,Plymouth,18.8,0.0,0.0,18.8
E06000029,Poole,28.6,29.3,0.0,57.9
E06000044,Portsmouth,37.3,0.0,0.0,37.3
E07000123,Preston,7.1,4.6,0.0,11.7
E07000051,Purbeck,40.2,19.1,0.0,59.4
E06000038,Reading,6.9,0.0,0.0,6.9
E09000026,Redbridge,3.3,36.6,0.0,39.8
E06000003,Redcar and Cleveland,28.2,0.0,0.0,28.2
E07000236,Redditch,11.4,33.1,0.0,44.5
E07000211,Reigate and Banstead,17.3,68.8,0.0,86.1
E07000124,Ribble Valley,33.4,3.0,0.0,36.4
E09000027,Richmond upon Thames,7.1,2.3,0.0,9.4
E07000166,Richmondshire,52.8,0.0,0.0,52.8
E08000005,Rochdale,31.4,62.8,0.0,94.2
E07000075,Rochford,43.4,74.2,0.0,117.6
E07000125,Rossendale,37.5,23.0,0.0,60.4
E07000064,Rother,26.3,0.0,0.0,26.3
E08000018,Rotherham,13.1,71.4,0.0,84.4
E07000220,Rugby,7.7,58.3,0.0,65.9
E07000212,Runnymede,25.4,78.6,0.0,104.0
E07000176,Rushcliffe,6.7,40.5,0.0,47.2
E07000092,Rushmoor,23.1,0.0,0.0,23.1
E06000017,Rutland,11.5,0.0,0.0,11.5
