BUA22CD,BUA22NM,RGN22CD,RGN22NM,bua_01_pop,bua_11_pop,bua_21_pop,geographic_constraint,bua_perm_rate_01_11,bua_perm_rate_01_21
LON999999,Greater London,E12000007,London,7522269,8443297,8808271,1.0335786928104034,0.015670069728123095,0.030381433902785488
E63002904,Birmingham,E12000005,West Midlands,1010754,1084964,1123562,1.0349714782975918,0.011058536300765297,0.018887027303873545
E63000784,Leeds,E12000003,Yorkshire and The Humber,486311,502563,537067,1.0673965562240262,0.01825079649615591,0.02988522289112705
E63001374,Liverpool,E12000002,North West,480792,494997,506863,1.026167265264238,0.020580894551794005,0.03703595712704072
E63001424,Sheffield,E12000003,Yorkshire and The Humber,479958,501771,505453,1.1040524800091467,0.016217150627036287,0.031148305432692768
E63001295,Manchester,E12000002,North West,373957,445954,469173,1.0566742345477307,0.02040683197216905,0.0354705217384451
E63005057,Bristol,E12000009,South West,362393,395796,428579,1.0495921584755639,0.030985036914469355,0.051705605123480866
E63002622,Leicester,E12000004,East Midlands,334751,379933,405806,1.0367001181464548,0.020976547782073262,0.03602540336089798
E63003006,Coventry,E12000005,West Midlands,315278,332783,347816,1.0510782613198022,0.010724559145126678,0.022858208746581718
E63000803,Bradford,E12000003,Yorkshire and The Humber,282904,317955,333809,1.0462822675166519,0.02343108065938633,0.03798358584268934
E63001992,Nottingham,E12000004,East Midlands,259331,285726,298618,1.0348220804367838,0.012233080712896574,0.028381885041839337
E63000077,Newcastle upon Tyne,E12000001,North East,262736,277751,287446,1.0354646647683148,0.012908819777045699,0.029300293787399016
E63002078,Derby,E12000004,East Midlands,240916,264498,278777,1.0380600527411876,0.016795748082169045,0.029319523660232598
E63006520,Brighton and Hove,E12000008,South East,249547,273369,277091,1.0424168909442402,0.011937646373020553,0.022673112849463006
E63006926,Plymouth,E12000009,South West,251822,266820,272002,1.1244152036998614,0.016829142494805844,0.03026380286818282
E63000825,Kingston upon Hull,E12000003,Yorkshire and The Humber,258850,267704,271605,1.0294321267104527,0.01059522308286702,0.018489943668987253
E63001958,Stoke-on-Trent,E12000005,West Midlands,250230,258953,262477,1.0638570586274962,0.011678464861650266,0.022650711120364188
E63006382,Southampton,E12000008,South East,226875,242175,248925,1.0642320025765617,0.01847717027674219,0.0313124564995173
E63003390,Northampton,E12000004,East Midlands,211610,224530,246018,1.074777040932998,0.006873760630504479,0.015375873700478092
E63002713,Wolverhampton,E12000005,West Midlands,220058,230779,235357,1.0416149992559893,0.009701712767223708,0.01955697486511787
E63004145,Luton,E12000006,East of England,197762,217538,234568,1.031598660508816,0.016812960154126366,0.02698720809607253
E63006574,Portsmouth,E12000008,South East,203777,220265,223316,1.04908962333797,0.017891021633491308,0.02379107381732448
E63005074,Reading,E12000008,South East,183725,191621,205932,1.068055432959661,0.020697933799684,0.03303531751750743
E63002507,Norwich,E12000006,East of England,183416,192980,204156,1.0756859702334767,0.02060375796637081,0.038950355231743346
E63003858,Milton Keynes,E12000008,South East,176848,194553,204044,1.110383509381317,0.008613289582030463,0.0197189523222611
E63006699,Bournemouth,E12000009,South West,171180,190506,196593,1.0538576737478507,0,0.005896933162986587
E63002720,Peterborough,E12000006,East of England,161654,176717,193360,1.1022657685241888,0.02404781854645456,0.03740355819952885
E63001109,Bolton (Bolton),E12000002,North West,160876,171053,186036,1.0974048407746864,0.018335468178900194,0.03365938704264299
E63004848,Swindon (Swindon),E12000009,South West,164324,174530,184555,1.060885164003202,0.01839267247421887,0.02968955822536356
E63004820,Southend-on-Sea,E12000006,East of England,163045,176683,182182,1.027342387769913,0.013405991877822376,0.025721197615186785
E63001400,Warrington,E12000002,North West,171188,177975,178885,1.1086148201198873,0.015262414042182424,0.02509608329907287
E63004458,Oxford,E12000008,South East,145204,163198,171135,1.0787486515641855,0.02075739936702778,0.03196099255186437
E63004918,Slough,E12000008,South East,138359,157098,170168,1.0456765297328354,0.016117678888936445,0.02994129393995835
E63000125,Sunderland,E12000001,North East,176338,172880,168759,1.0567759915457922,0.012402428379368348,0.022868850736481015
E63002505,Telford,E12000005,West Midlands,148533,156584,162424,1.1552627364857135,0.019213885352807176,0.04470888843681197
E63005018,Kingswood and Fishponds,E12000009,South West,141405,149783,158801,1.0455070709294008,0.019537712130679678,0.0384663437183114
E63003736,Ipswich,E12000006,East of England,134796,145744,152060,1.0484425554941772,0.022348754106464454,0.03134899719794523
E63000792,Blackpool,E12000002,North West,151123,150618,151637,1.0236567064869124,0.012994733887002768,0.020996515552619718
E63003443,Cambridge (Cambridge),E12000006,East of England,131618,146087,150544,1.0384748522416953,0.020130991655114647,0.04066042894435676
E63000324,Middlesbrough,E12000001,North East,146806,150099,149831,1.0551009641826896,0.012048208675272428,0.021175837260711934
E63001017,Huddersfield,E12000003,Yorkshire and The Humber,128765,142654,145162,1.1500401176785238,0.02704452577080382,0.04738643298157771
E63000615,York,E12000003,Yorkshire and The Humber,126776,141281,144095,1.0478871816884872,0.016952453087257825,0.030942710941250017
E63006720,Poole,E12000009,South West,131678,139891,142673,1.1118973011220055,0,0.005896933162986587
E63004104,Colchester,E12000006,East of England,120539,133021,133094,1.067093504068294,0.02057280581387393,0.03720131344969276
E63004690,Watford (Watford),E12000006,East of England,110542,123296,130954,1.0738768425078702,0.019278608310510325,0.032821791272144143
E63000869,Blackburn (Blackburn with Darwen),E12000002,North West,113324,122702,129465,1.0728991474801368,0.012765411115184058,0.025702703518066895
E63006718,Exeter,E12000009,South West,114672,120550,125374,1.080165820050213,0.017436657681934774,0.035873984384353616
E63005907,Crawley (Crawley),E12000008,South East,107118,113033,122963,1.1327594019030358,0.010943338366442979,0.0183476648330419
E63001378,Stockport,E12000002,North West,114447,114511,119591,1.04826198163445,0.010885357646717693,0.021763715063437498
E63005538,Basingstoke,E12000008,South East,107465,112443,119377,1.1019366914728215,0.024335139112446356,0.040357662044500905
E63004269,Gloucester,E12000009,South West,107880,114117,117176,1.0335990485225197,0.019680574523052278,0.032799172812570186
E63004799,Basildon,E12000006,East of England,102802,108301,116197,1.0991142432275167,0.011048690738452717,0.019075466600026104
E63004173,Cheltenham,E12000009,South West,109743,115825,116157,1.0291453976617817,0.02062099339439677,0.037336575826948715
