LSOA21CD,LAD22CD
E01035190,E06000002
E01035192,E06000002
E01035193,E06000002
E01035195,E06000002
E01035198,E06000004
E01035199,E06000004
E01035202,E06000004
E01035203,E06000004
E01035183,E06000005
E01035185,E06000005
E01034490,E06000047
E01034491,E06000047
E01034498,E06000047
E01034499,E06000047
E01034494,E06000047
E01034502,E06000047
E01034504,E06000047
E01034506,E06000047
E01034507,E06000047
E01034509,E06000047
E01035632,E06000057
E01035634,E06000057
E01035635,E06000057
E01035629,E06000057
E01035614,E08000021
E01035615,E08000021
E01035616,E08000021
E01035618,E08000021
E01035621,E08000021
E01035623,E08000021
E01035625,E08000022
E01035628,E08000022
E01034513,E08000023
E01034516,E08000024
E01034519,E08000024
E01035611,E08000037
E01035382,E06000006
E01035386,E06000007
E01035387,E06000007
E01035388,E06000007
E01035390,E06000007
E01035391,E06000007
E01034663,E06000049
E01034666,E06000049
E01034668,E06000049
E01034670,E06000049
E01034671,E06000049
E01034673,E06000049
E01034660,E06000049
E01034661,E06000049
E01034674,E06000049
E01034676,E06000049
E01034678,E06000049
E01035374,E06000050
E01035377,E06000050
E01035378,E06000050
E01035379,E06000050
E01035380,E06000050
E01035365,E06000050
E01035368,E06000050
E01035369,E06000050
E01035370,E06000050
E01035372,E06000050
E01034070,E07000028
E01034071,E07000028
E01034072,E07000028
E01034078,E07000031
E01034338,E07000118
E01034340,E07000118
E01034341,E07000118
E01034343,E07000118
E01034345,E07000118
E01034336,E07000120
E01034347,E07000123
E01034350,E07000126
E01034352,E07000126
E01034107,E08000003
E01034110,E08000003
E01034112,E08000003
E01034113,E08000003
E01034116,E08000003
E01034118,E08000003
E01034121,E08000003
E01034123,E08000003
E01034125,E08000003
E01034127,E08000003
E01034130,E08000003
E01034132,E08000003
E01034134,E08000003
E01034135,E08000003
E01034137,E08000003
E01034232,E08000004
E01034235,E08000005
E01033976,E08000006
E01033979,E08000006
E01033980,E08000006
E01033983,E08000006
E01033986,E08000006
E01033987,E08000006
E01033990,E08000006
E01033992,E08000006
E01033994,E08000006
E01033995,E08000006
E01033997,E08000006
E01033998,E08000006
E01033948,E08000007
E01033949,E08000008
E01034000,E08000009
E01034832,E08000011
E01034835,E08000011
E01034397,E08000012
E01034398,E08000012
E01034400,E08000012
E01034402,E08000012
E01034406,E08000012
E01034408,E08000012
E01034411,E08000012
E01033793,E08000013
E01033796,E08000013
E01033797,E08000014
E01033800,E08000014
E01034836,E08000015
E01034838,E08000015
E01034841,E08000015
E01035465,E06000010
E01035467,E06000010
E01035470,E06000010
E01035472,E06000010
E01034753,E06000011
E01034755,E06000011
E01034757,E06000011
E01034759,E06000011
E01035475,E06000012
E01035478,E06000012
E01035479,E06000012
E01035482,E06000013
E01035483,E06000013
E01034762,E06000014
E01034957,E07000163
E01034959,E07000164
E01034961,E07000164
E01034964,E07000165
E01034966,E07000166
E01034968,E07000167
E01034969,E07000167
E01034975,E07000169
E01034978,E07000169
E01034980,E07000169
E01034982,E07000169
E01034983,E07000169
E01034258,E08000016
E01034237,E08000017
E01034238,E08000017
E01034241,E08000017
E01034242,E08000017
E01034245,E08000017
E01034247,E08000018
E01034248,E08000018
E01034249,E08000018
E01034251,E08000018
E01034845,E08000019
E01033899,E08000032
E01033901,E08000032
E01034582,E08000033
E01034585,E08000034
E01034587,E08000034
E01035040,E08000035
E01035042,E08000035
E01035045,E08000035
E01035047,E08000035
E01035049,E08000035
E01035050,E08000035
E01035053,E08000035
E01034260,E08000036
E01034263,E08000036
E01034265,E08000036
E01034266,E08000036
E01034267,E08000036
E01034270,E08000036
E01034256,E06000015
E01034008,E06000016
E01034011,E06000016
E01034012,E06000016
E01034013,E06000016
E01034015,E06000016
E01034017,E06000016
E01034019,E06000016
E01034023,E06000016
E01034024,E06000016
E01035102,E06000017
E01035103,E06000017
E01035106,E06000017
E01035501,E06000018
E01035503,E06000018
E01035393,E06000061
E01035394,E06000061
E01035396,E06000061
E01035397,E06000061
E01035408,E06000061
E01035409,E06000061
E01035412,E06000061
E01035414,E06000061
E01035429,E06000061
E01035432,E06000061
E01035415,E06000061
E01035399,E06000062
E01035402,E06000062
E01035403,E06000062
E01035405,E06000062
E01035417,E06000062
E01035420,E06000062
E01035425,E06000062
E01035427,E06000062
E01035422,E06000062
E01035424,E06000062
E01034255,E07000032
E01034645,E07000033
E01034647,E07000033
E01034649,E07000038
E01034650,E07000039
E01034653,E07000039
E01034654,E07000039
E01034656,E07000039
E01034003,E07000130
E01034004,E07000130
E01034006,E07000130
E01035084,E07000131
E01035086,E07000131
E01035089,E07000131
E01035090,E07000131
E01035092,E07000131
E01035094,E07000132
E01035097,E07000132
E01035098,E07000134
E01035100,E07000134
E01034679,E07000136
E01034682,E07000136
E01034683,E07000136
E01034685,E07000137
E01034687,E07000138
E01034689,E07000138
E01034692,E07000138
E01034693,E07000139
E01034695,E07000139
E01034697,E07000140
E01034699,E07000140
E01026240,E07000140
E01034701,E07000141
E01034704,E07000141
E01034705,E07000141
E01034707,E07000142
E01033778,E07000170
E01033779,E07000170
E01033782,E07000170
E01033775,E07000174
E01033770,E07000175
E01033772,E07000175
E01033773,E07000175
E01033780,E07000175
E01035510,E07000176
E01035055,E06000019
E01035074,E06000020
E01035075,E06000020
E01035076,E06000020
E01035078,E06000020
E01035079,E06000020
E01035081,E06000020
E01035082,E06000020
E01034053,E06000021
E01034054,E06000021
E01034056,E06000021
E01034059,E06000021
E01035069,E06000051
E01035058,E06000051
E01035060,E06000051
E01035061,E06000051
E01035064,E06000051
E01035066,E06000051
E01035068,E06000051
E01034097,E07000192
E01034099,E07000194
E01034102,E07000194
E01034104,E07000194
E01034105,E07000194
E01034048,E07000197
E01034050,E07000197
E01035014,E07000219
E01035016,E07000219
E01035019,E07000219
E01035020,E07000220
E01035023,E07000220
E01035024,E07000220
E01035027,E07000220
E01035028,E07000220
E01035029,E07000220
E01035031,E07000221
E01035033,E07000221
E01035034,E07000221
E01035035,E07000221
E01035037,E07000222
E01035039,E07000222
E01034316,E07000234
E01034318,E07000234
E01034320,E07000236
E01034322,E07000236
E01034324,E07000237
E01034325,E07000238
E01034328,E07000238
E01034329,E07000238
E01034331,E07000239
E01034333,E07000239
E01034913,E08000025
E01034915,E08000025
E01009060,E08000025
E01034917,E08000025
E01034919,E08000025
E01034921,E08000025
E01034924,E08000025
E01034925,E08000025
E01034927,E08000025
E01034929,E08000025
E01034932,E08000025
E01034933,E08000025
E01034936,E08000025
E01034939,E08000025
E01034941,E08000025
E01034942,E08000025
E01034944,E08000025
E01034947,E08000025
E01034949,E08000025
E01034950,E08000025
E01034952,E08000025
E01034953,E08000025
E01034735,E08000026
E01034737,E08000026
E01034739,E08000026
E01034741,E08000026
E01034743,E08000026
E01034745,E08000026
E01034748,E08000026
E01034750,E08000026
E01034307,E08000027
E01034309,E08000027
E01033886,E08000028
E01033888,E08000028
E01033890,E08000028
E01033893,E08000028
E01010237,E08000029
E01033895,E08000030
E01033896,E08000030
E01034311,E08000031
E01034313,E08000031
E01034314,E08000031
E01035538,E06000031
E01035541,E06000031
E01035543,E06000031
E01035544,E06000031
E01035547,E06000031
E01035548,E06000031
E01035549,E06000031
E01035552,E06000031
E01035554,E06000031
E01033806,E06000032
E01033802,E06000032
E01033804,E06000032
E01033805,E06000032
E01034095,E06000033
E01034368,E06000034
E01034370,E06000034
E01034413,E06000055
E01034415,E06000055
E01034416,E06000055
E01034417,E06000055
E01034418,E06000055
E01034421,E06000055
E01034422,E06000055
E01034424,E06000055
E01034426,E06000055
E01034427,E06000055
E01034428,E06000055
E01034430,E06000055
E01034432,E06000055
E01034433,E06000055
E01033808,E06000056
E01033809,E06000056
E01033811,E06000056
E01033812,E06000056
E01033814,E06000056
E01033815,E06000056
E01033818,E06000056
E01033819,E06000056
E01033821,E06000056
