,state,cbsatitle18,countyname18,communityname18,WRLURI18
0,MA,"Springfield, MA",Hampden County,Southwick,0.35916665
1,MA,"Worcester, MA-CT",Worcester County,Ashburnham,-0.22910053
2,MA,"Boston-Cambridge-Newton, MA-NH",Middlesex County,Ashland,0.3004081
3,MA,"Worcester, MA-CT",Worcester County,Bolton,-0.22910053
4,MA,"Boston-Cambridge-Newton, MA-NH",Middlesex County,Stow,0.3004081
6,MA,"Providence-Warwick, RI-MA",Bristol County,Mansfield,0.9283824
7,MA,"Boston-Cambridge-Newton, MA-NH",Plymouth County,Norwell,0.3004081
8,MA,"Boston-Cambridge-Newton, MA-NH",Norfolk County,Stoughton,0.3004081
10,MA,"Barnstable Town, MA",Barnstable County,Harwich,0.5599534
11,RI,"Providence-Warwick, RI-MA",Washington County,Exeter,0.9283824
12,RI,"Providence-Warwick, RI-MA",Newport County,Portsmouth,0.9283824
13,NH,"Boston-Cambridge-Newton, MA-NH",Rockingham County,Epping,0.3004081
14,NH,"Manchester-Nashua, NH",Hillsborough County,Milford,-0.18944965
15,NH,"Manchester-Nashua, NH",Hillsborough County,Nashua,-0.18944965
16,NH,"Concord, NH",Merrimack County,Franklin,0.22006176
17,NH,"Keene, NH",Cheshire County,Rindge,-0.83035517
18,NH,,Carroll County,Wolfeboro,-0.28941345
19,ME,"Portland-South Portland, ME",York County,Berwick,0.12916054
20,ME,"Portland-South Portland, ME",York County,Lyman,0.12916054
21,ME,"Portland-South Portland, ME",Cumberland County,Westbrook,0.12916054
22,ME,,Oxford County,Mexico,-0.28941345
23,ME,"Bangor, ME",Penobscot County,Holden,-0.05743879
24,ME,,Knox County,Rockland,-0.28941345
25,ME,"Augusta-Waterville, ME",Kennebec County,Oakland,-1.1891178
26,VT,"Claremont-Lebanon, NH-VT",Orange County,Randolph,-0.38720804
27,VT,,Windham County,Westminster,-0.28941345
28,VT,"Bennington, VT",Bennington County,Manchester,-1.0295674
29,VT,,Addison County,Middlebury,-0.28941345
30,VT,,Orleans County,Newport,-0.28941345
31,CT,"Hartford-West Hartford-East Hartford, CT",Hartford County,Bloomfield,0.13786314
32,CT,"Hartford-West Hartford-East Hartford, CT",Hartford County,Plainville,0.13786314
35,CT,"Hartford-West Hartford-East Hartford, CT",Tolland County,Mansfield,0.13786314
36,CT,"Norwich-New London, CT",New London County,Preston,-0.09741756
37,CT,"Hartford-West Hartford-East Hartford, CT",Middlesex County,Killingworth,0.13786314
38,CT,"New Haven-Milford, CT",New Haven County,North Branford,-0.6647526
39,CT,"New Haven-Milford, CT",New Haven County,New Haven,-0.6647526
40,CT,"Bridgeport-Stamford-Norwalk, CT",Fairfield County,Greenwich,0.27043277
41,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,Ridgewood,1.0379527
